chart_week,rank,song_id,artist_id,is_new,weeks,peak_pos,title,artist
2013-12-13,1,2vwlzO0Qp8kfEtzTsCXfyE,5YGY8feqx7naU7z4HrwZM6,False,15,1,Wrecking Ball,Miley Cyrus
2013-12-13,2,48RrDBpOSSl1aLVCalGl5C,7dGJo4pcD2V6oG8kP0tJRR,False,5,2,The Monster,Eminem Featuring Rihanna
2013-12-13,3,2dLLR6qlu5UJ5gk0dKz0h3,163tK9Wjr9P9DmM0AVK7lm,False,22,1,Royals,Lorde
2013-12-13,4,3cHyrEgdyYRjgJKSOiOtcS,0TnOYISbd1XYRBk9myaseg,False,8,4,Timber,Pitbull Featuring Ke$ha
2013-12-13,5,2tpWsVSb9UEmDRxAl1zhX1,5Pwc4xIPtQLFEnJriah9YJ,False,24,4,Counting Stars,OneRepublic
2013-12-13,6,0nrRP2bk19rLc0orkWPQk2,1vCWHaC5f2uS3yhpwWbIA6,False,23,4,Wake Me Up!,Avicii
2013-12-13,7,3LlAyCYU26dvFZBDUIMb7a,53XhwfbYqKCa1cC15pYq2q,False,32,6,Demons,Imagine Dragons
2013-12-13,8,4nVBt6MZDDP6tRVdQTgxJg,4AK6F7OLvEQ5QYCBNiQWHq,False,5,6,Story Of My Life,One Direction
2013-12-13,9,27tNWlhdAryQY04Gb2ZhUI,6jJ0s89eD6GaHleKKya26X,False,17,1,Roar,Katy Perry
2013-12-13,10,6Vc5wAMmXdKIAM7WUoEb7N,5xKp3UyavIBUsGy3DQdXeF,False,4,10,Say Something,A Great Big World & Christina Aguilera
2013-12-13,11,2aSC2xhRxOLiiZZVjhbylH,3TVXtAsR1Inumwj472S9r4,False,17,4,"Hold On, We're Going Home",Drake Featuring Majid Jordan
2013-12-13,12,3sNVsP50132BTNlImLx70i,5K4W6rqBFWDnAN6FQUkS6x,False,2,12,Bound 2,Kanye West
2013-12-13,13,1KxwZYyzWNyZSRyErj2ojT,0gadJ2b9A4SKsB1RFkBb66,False,18,10,Let Her Go,Passenger
2013-12-13,14,5ka2ajep9OAvU5Sgduhiex,1HY2Jd0NmPuamShAr6KMms,False,16,4,Applause,Lady Gaga
2013-12-13,15,009ImBOrIUlWgla8U05RAC,6jJ0s89eD6GaHleKKya26X,False,6,15,Unconditionally,Katy Perry
2013-12-13,16,20FZrLl9zSbO9b3DhaqO6M,0NWbwDZY1VkRqFafuQm6wk,False,11,11,23,"Mike Will Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J"
2013-12-13,17,5XKXMWPACPq51OiqzxenZo,1HY2Jd0NmPuamShAr6KMms,False,6,13,Do What U Want,Lady Gaga Featuring R. Kelly
2013-12-13,18,2QjOHCTQ1Jl3zawyYOpxh6,77SW9BnxLY8rJ0RciFqkHh,False,25,17,Sweater Weather,The Neighbourhood
2013-12-13,19,2QtJA4gbwe1AcanB2p21aP,2qxJFvFYMEDqd7ui6kSAcq,False,11,19,Stay The Night,Zedd Featuring Hayley Williams
2013-12-13,20,37jTPJgwCCmIGMPB45jrPV,3nFkdlSjzX9mRTtwJOzDYB,False,21,4,Holy Grail,Jay Z Featuring Justin Timberlake
2013-12-13,21,5lF0pHbsJ0QqyIrLweHJPW,0X2BH1fck6amBIoJhDVmmJ,False,13,21,Burn,Ellie Goulding
2013-12-13,22,1o1Pny4JcE3LdUBeBedbm6,5BcAKTbp20cv7tC5VqPFoC,False,11,22,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis
2013-12-13,23,5G47DlluL671zo0k3OhoSm,0A0FS04o6zMoto8OKPsDwY,False,9,19,My Hitta,YG Featuring Jeezy & Rich Homie Quan
2013-12-13,24,0n4bITAu0Y0nigrz3MFJMb,0ZrpamOxcZybMHGg1AYtHP,False,33,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
