song_id,title,duration_ms,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2vwlzO0Qp8kfEtzTsCXfyE,Wrecking Ball,221360.0,78.0,0.407,0.53,0.422,0.0,5.0,0.107,-6.262,1.0,0.0342,119.964,0.349
48RrDBpOSSl1aLVCalGl5C,The Monster,250188.0,78.0,0.0526,0.781,0.853,0.0,1.0,0.12,-3.68,0.0,0.0714,110.046,0.626
2dLLR6qlu5UJ5gk0dKz0h3,Royals,190185.0,75.0,0.12,0.674,0.426,0.0,7.0,0.132,-9.504,1.0,0.122,84.876,0.337
3cHyrEgdyYRjgJKSOiOtcS,Timber,204160.0,82.0,0.0295,0.581,0.963,0.0,11.0,0.139,-4.087,1.0,0.0981,129.992,0.788
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,257265.0,85.0,0.0654,0.663,0.706,0.0,1.0,0.118,-4.972,0.0,0.0383,122.013,0.474
0nrRP2bk19rLc0orkWPQk2,Wake Me Up!,247426.0,85.0,0.0038,0.532,0.783,0.0012,2.0,0.161,-5.697,1.0,0.0523,124.08,0.643
3LlAyCYU26dvFZBDUIMb7a,Demons,,,,,,,,,,,,,
4nVBt6MZDDP6tRVdQTgxJg,Story Of My Life,245493.0,84.0,0.225,0.6,0.663,0.0,3.0,0.119,-5.802,1.0,0.0477,121.07,0.286
27tNWlhdAryQY04Gb2ZhUI,Roar,223546.0,77.0,0.00492,0.671,0.771,7.28e-06,7.0,0.354,-4.821,0.0,0.0316,90.003,0.436
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,229400.0,68.0,0.857,0.407,0.147,2.89e-06,2.0,0.0913,-8.822,1.0,0.0355,141.284,0.0765
2aSC2xhRxOLiiZZVjhbylH,"Hold On, We're Going Home",227880.0,70.0,0.00421,0.777,0.414,2.73e-05,6.0,0.0724,-7.44,0.0,0.0946,100.002,0.287
3sNVsP50132BTNlImLx70i,Bound 2,229146.0,80.0,0.145,0.367,0.665,0.0,1.0,0.113,-2.821,1.0,0.0465,148.913,0.31
1KxwZYyzWNyZSRyErj2ojT,Let Her Go,,,,,,,,,,,,,
5ka2ajep9OAvU5Sgduhiex,Applause,212333.0,75.0,0.0265,0.668,0.78,1.63e-06,7.0,0.143,-4.287,0.0,0.053,139.945,0.738
009ImBOrIUlWgla8U05RAC,Unconditionally,228878.0,76.0,0.00273,0.432,0.725,0.0,7.0,0.208,-4.862,1.0,0.0431,128.902,0.353
20FZrLl9zSbO9b3DhaqO6M,23,252520.0,68.0,0.000362,0.859,0.599,8.2e-06,9.0,0.13,-5.254,1.0,0.0614,140.005,0.319
5XKXMWPACPq51OiqzxenZo,Do What U Want,216573.0,57.0,0.345,0.778,0.801,1.18e-06,9.0,0.0881,-4.65,1.0,0.086,97.47,0.534
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,240400.0,89.0,0.0495,0.612,0.807,0.0177,10.0,0.101,-2.81,1.0,0.0336,124.053,0.398
2QtJA4gbwe1AcanB2p21aP,Stay The Night,,,,,,,,,,,,,
37jTPJgwCCmIGMPB45jrPV,Holy Grail,,,,,,,,,,,,,
5lF0pHbsJ0QqyIrLweHJPW,Burn,231213.0,75.0,0.3,0.313,0.76,0.0,10.0,0.105,-5.049,0.0,0.0616,86.735,0.343
1o1Pny4JcE3LdUBeBedbm6,White Walls,220319.0,61.0,0.0545,0.768,0.782,0.0,7.0,0.338,-5.545,1.0,0.141,116.492,0.842
5G47DlluL671zo0k3OhoSm,My Hitta,,,,,,,,,,,,,
0n4bITAu0Y0nigrz3MFJMb,Blurred Lines,263826.0,73.0,0.00334,0.853,0.599,7.93e-06,7.0,0.0759,-4.756,1.0,0.0411,119.993,0.843
4G8gkOterJn0Ywt6uhqbhp,Radioactive,,,,,,,,,,,,,
6Uy6K3KdmUdAfelUp0SeXn,Brave,220573.0,64.0,0.00502,0.551,0.836,2.1e-05,10.0,0.0425,-3.838,0.0,0.0524,185.063,0.758
2OsEJFTfzfjG4oC92cuP2c,Slow Down,210293.0,63.0,0.073,0.721,0.821,0.0,1.0,0.631,-3.856,0.0,0.165,127.944,0.721
2MDueMvPkUTpU6Xkmeinln,Love More,189706.0,57.0,0.000463,0.882,0.621,0.00055,1.0,0.0784,-6.652,1.0,0.0461,104.954,0.487
3ogtSrlbtiTamktbA0hw0E,Marry Me,,,,,,,,,,,,,
3grPZ1iQg2tEdh0ZCh3HTt,Stay,,,,,,,,,,,,,
7ueP5u2qkdZbIPN2YA6LR0,Sail,259093.0,71.0,0.441,0.826,0.436,0.615,1.0,0.0964,-9.583,1.0,0.0558,119.051,0.272
5JVbvCHX10U2pLa5DEqGav,Safe And Sound,192789.0,82.0,0.000182,0.655,0.818,0.00399,0.0,0.104,-4.852,1.0,0.0319,117.956,0.767
2xRYnHQdLD9ketvC01UYYT,It Won't Stop,281080.0,66.0,0.016,0.657,0.574,8.1e-05,1.0,0.172,-9.484,0.0,0.0407,119.992,0.211
5HGibWoxnkYSkl6mHmAlOE,That's My Kind Of Night,190186.0,69.0,0.0597,0.662,0.749,0.0,7.0,0.105,-2.891,1.0,0.048,109.995,0.895
5mIqtDBiw3rqMxsJc4UVM6,TKO,424146.0,49.0,0.00701,0.611,0.678,8.43e-06,3.0,0.431,-6.723,0.0,0.243,137.864,0.493
4jbmgIyjGoXjY01XxatOx6,Dark Horse,215672.0,78.0,0.00314,0.647,0.585,0.0,6.0,0.165,-6.123,1.0,0.0512,131.934,0.353
3gbBpTdY8lnQwqxNCcf795,Pompeii,,,,,,,,,,,,,
1aCDtDGqZmOzrzi62DBqGI,Sunny And 75,206946.0,53.0,0.184,0.531,0.893,1.01e-06,0.0,0.101,-4.422,1.0,0.055,120.045,0.323
7y911sqgHGHcyU4ivapjwi,All Me,,,,,,,,,,,,,
6PUIzlqotEmPuBfjbwYWOB,Summertime Sadness,214912.0,72.0,0.0157,0.572,0.81,6.53e-06,1.0,0.13,-5.791,0.0,0.0558,126.052,0.11
1UMKquW1olreYO1LlLmTqi,Gas Pedal,208160.0,67.0,0.0273,0.843,0.538,0.0,1.0,0.124,-8.028,1.0,0.0835,97.49,0.428
5T7ZFtCcOgkpjxcuaeZbw0,Best Song Ever,200106.0,76.0,0.0227,0.652,0.877,0.0,1.0,0.0789,-2.986,1.0,0.0465,118.491,0.486
4hnK8P3v7kE7T4PMBYwRhu,Drunk Last Night,219213.0,52.0,0.052,0.528,0.856,0.0,7.0,0.0988,-4.605,1.0,0.0351,87.019,0.572
2y4lAQpi5VTNLu2ldeTdUH,We Can't Stop,231240.0,78.0,0.00882,0.613,0.622,0.0,1.0,0.37,-5.794,0.0,0.0334,80.003,0.484
4lWhQ9LG9RYg5fcJ4sRf1u,Carolina,201346.0,51.0,0.0107,0.434,0.75,0.0,10.0,0.106,-3.53,1.0,0.0293,159.824,0.488
18ws4dUbhpoGB7Uv7U89yp,Roller Coaster,201613.0,54.0,0.0136,0.705,0.865,0.0,5.0,0.179,-4.076,0.0,0.0712,97.969,0.585
6or1bKJiZ06IlK0vFvY75k,Rap God,363521.0,75.0,0.395,0.709,0.843,0.0,7.0,0.799,-2.66,1.0,0.314,148.134,0.625
1PoGWZbJPGmViVi7CYbDUK,Drink A Beer,202626.0,62.0,0.836,0.483,0.432,5.19e-05,8.0,0.199,-7.656,1.0,0.0343,78.262,0.296
4rHZZAmHpZrA3iH5zx8frV,Mirrors,484146.0,78.0,0.234,0.574,0.512,0.0,5.0,0.0946,-6.664,0.0,0.0503,76.899,0.512
4OAuvHryIVv4kMDNSLuPt6,Red,223093.0,71.0,0.00108,0.516,0.777,1.62e-06,1.0,0.0761,-4.908,0.0,0.0375,125.047,0.408
4PJXT82AZtlDW4Q71b43oz,Whatever She's Got,236800.0,59.0,0.217,0.527,0.723,0.0,1.0,0.037,-6.134,1.0,0.0411,160.465,0.888
1zvQt99d5oTkEQLmSoO1yu,Mine Would Be You,239506.0,53.0,0.146,0.572,0.529,0.0,0.0,0.335,-6.897,1.0,0.0282,139.876,0.321
