name,artist_id,url,mbid,tag
Fergie,3r17AfJCCUqC9Lf0OAc73G,https://open.spotify.com/artist/3r17AfJCCUqC9Lf0OAc73G,1c46e82f-4764-4d82-a33b-5d5aee5e2881,pop
Gnarls Barkley,5SbkVQYYzlw1kte75QIabH,https://open.spotify.com/artist/5SbkVQYYzlw1kte75QIabH,a47c3aa2-7d87-475c-a2c7-1e2047dafb09,alternative hip hop
CeeLo Green,5nLYd9ST4Cnwy6NHaCxbj8,https://open.spotify.com/artist/5nLYd9ST4Cnwy6NHaCxbj8,2c69465c-0f76-45ce-90a2-1ed0fdacc997,pop
Danger Mouse,2dBj3prW7gP9bCCOIQeDUf,https://open.spotify.com/artist/2dBj3prW7gP9bCCOIQeDUf,4b356f05-bcc2-4544-925b-fd9a1bf708be,hip hop
Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,https://open.spotify.com/artist/2jw70GZXlAI8QzWeY2bgRc,13655113-cd16-4b43-9dca-cadbbf26ee05,pop
Timbaland,5Y5TRrQiqgUO4S36tzjIRZ,https://open.spotify.com/artist/5Y5TRrQiqgUO4S36tzjIRZ,daa09819-5da5-4c7a-8bef-eb372bb27ff1,contemporary r&b
Cassie,27FGXRNruFoOdf1vP8dqcH,https://open.spotify.com/artist/27FGXRNruFoOdf1vP8dqcH,4a8ac23a-e27a-44db-814a-f8c31beb68e6,hip hop rnb and dance hall
The Pussycat Dolls,6wPhSqRtPu1UhRCDX5yaDJ,https://open.spotify.com/artist/6wPhSqRtPu1UhRCDX5yaDJ,1fda852b-92e9-4562-82fa-c52820a77b23,dance-pop
Sean Paul,3Isy6kedDrgPYoTS1dazA9,https://open.spotify.com/artist/3Isy6kedDrgPYoTS1dazA9,c3da3346-2643-48a7-93cd-011f6834b3d7,dancehall
Keyshia Cole,1vfezMIyCr4XUdYRaKIKi3,https://open.spotify.com/artist/1vfezMIyCr4XUdYRaKIKi3,ef73e6ed-9096-4ddb-9799-b94874d0ce33,contemporary r&b
