chart_week,rank,song_id,artist_id,is_new,weeks,peak_pos,title,artist
2000-01-21,1,5bGmuxShUba9maPswDnhCs,1l7ZsJRRS8wlW3WfJfPfNS,False,9,1,What A Girl Wants,Christina Aguilera
2000-01-21,2,6nozDLxeL0TE4MS9GqYU1v,3NRFinRTEqUCfaTTZmk8ek,False,14,2,I Knew I Loved You,Savage Garden
2000-01-21,3,2pX4FpOgwItRVPPUFdRcxA,6GI52t8N5F02MxU0g5U69P,False,26,1,Smooth,Santana Featuring Rob Thomas
2000-01-21,4,6mwA6YiKDjAUG8kWvRRUPh,6k0IBR0lU42s2GYpNX7kA9,False,22,2,Back At One,Brian McKnight
2000-01-21,5,1cjBan0t4eBk2Y5j17hdyf,1nSRa2YjjFWJLHGKM07oGQ,False,14,5,Bring It All To Me,Blaque
2000-01-21,6,7ffwRz8lZyDOE4Vj58Lo72,4wLXwxDeWQ8mtUIRPxGiD6,False,20,3,I Need To Know,Marc Anthony
2000-01-21,7,7mYvtEeBdMqRSyj1Qpv6my,2wIVse2owClT7go1WT98tk,False,9,5,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring Nas, Eve & Q-Tip"
2000-01-21,8,5gZEhPrN1VLqTG1nIAXeNK,2tFN9ubMXEhdAQvdQxcsma,False,15,3,I Wanna Love You Forever,Jessica Simpson
2000-01-21,9,4GewRLEiI4BDTQsoH8BRVV,64rxQRJsLgZwHHyWKB8fiF,False,7,9,Blue (Da Ba Dee),Eiffel 65
2000-01-21,10,1ckU1EhAO0Nr73QYw24SWJ,6XpaIBNiVzIetEPCWDvAFP,False,21,4,My Love Is Your Love,Whitney Houston
2000-01-21,11,0aKWpnMZCR42M9lLhnzJEZ,4S9EykWXhStSc15wEx8QFK,False,11,11,That's The Way It Is,Celine Dion
2000-01-21,12,50MfV7a1pnOEcf2t9kobxW,2iEvnFsWxR0Syqu2JNopAd,False,13,12,Then The Morning Comes,Smash Mouth
2000-01-21,13,5PMKzsUsTpZZGsCcJBuhP2,5KNqYrivNgVCHBssEUSu5B,False,18,7,U Know What's Up,Donell Jones
2000-01-21,14,5yaCquc7koPqtgj7v0lwHX,2DlGxzQSjYe5N6G9nkYghR,False,15,8,Waiting For Tonight,Jennifer Lopez
2000-01-21,15,0AcLrSfAEBQcUnHOTm5pXg,0iVrCROxeyon7MZUW3MfzT,False,14,15,Get It On Tonite,Montell Jordan
