song_id,title,duration_ms,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
5bGmuxShUba9maPswDnhCs,What A Girl Wants,215800.0,63.0,0.0684,0.754,0.819,0.0,0.0,0.345,-6.833,1.0,0.112,142.137,0.818
6nozDLxeL0TE4MS9GqYU1v,I Knew I Loved You,250360.0,67.0,0.32,0.61,0.497,6.11e-05,9.0,0.0884,-9.88,1.0,0.0279,85.031,0.739
2pX4FpOgwItRVPPUFdRcxA,Smooth,294986.0,67.0,0.16,0.609,0.923,4.73e-06,9.0,0.295,-3.908,1.0,0.0338,115.996,0.961
6mwA6YiKDjAUG8kWvRRUPh,Back At One,263666.0,67.0,0.452,0.66,0.347,0.0,11.0,0.131,-9.114,1.0,0.03,129.747,0.256
1cjBan0t4eBk2Y5j17hdyf,Bring It All To Me,218186.0,54.0,0.000479,0.695,0.579,0.0,0.0,0.0556,-5.066,1.0,0.0325,88.957,0.726
7ffwRz8lZyDOE4Vj58Lo72,I Need To Know,227706.0,50.0,0.486,0.813,0.949,9.75e-06,3.0,0.112,-2.563,0.0,0.0336,115.061,0.792
7mYvtEeBdMqRSyj1Qpv6my,Hot Boyz,215466.0,45.0,0.339,0.727,0.445,0.0,1.0,0.18,-11.241,1.0,0.291,81.125,0.527
5gZEhPrN1VLqTG1nIAXeNK,I Wanna Love You Forever,263800.0,50.0,0.156,0.59,0.666,0.0,4.0,0.136,-4.047,0.0,0.0244,104.042,0.0743
4GewRLEiI4BDTQsoH8BRVV,Blue (Da Ba Dee),283747.0,73.0,0.259,0.822,0.969,0.000153,7.0,0.39,-11.471,0.0,0.0582,128.007,0.765
1ckU1EhAO0Nr73QYw24SWJ,My Love Is Your Love,261573.0,64.0,0.0561,0.77,0.475,4.72e-06,7.0,0.0607,-9.512,1.0,0.159,82.511,0.473
0aKWpnMZCR42M9lLhnzJEZ,That's The Way It Is,242626.0,65.0,0.0756,0.529,0.862,0.0,4.0,0.114,-5.528,1.0,0.0676,186.026,0.535
50MfV7a1pnOEcf2t9kobxW,Then The Morning Comes,182266.0,48.0,0.0227,0.729,0.882,0.0,5.0,0.0873,-5.025,0.0,0.0283,118.58,0.964
5PMKzsUsTpZZGsCcJBuhP2,U Know What's Up,243733.0,61.0,0.0402,0.854,0.543,5.73e-05,8.0,0.0419,-6.166,0.0,0.0844,103.032,0.868
5yaCquc7koPqtgj7v0lwHX,Waiting For Tonight,246426.0,61.0,0.00341,0.695,0.945,0.0727,10.0,0.103,-6.165,0.0,0.0418,125.013,0.84
0AcLrSfAEBQcUnHOTm5pXg,Get It On Tonite,277413.0,55.0,0.259,0.807,0.498,3.04e-05,10.0,0.0618,-9.91,0.0,0.0755,99.001,0.857
7H6ev70Weq6DdpZyyTmUXk,Say My Name,271333.0,76.0,0.273,0.713,0.678,0.0,5.0,0.149,-3.525,0.0,0.102,138.009,0.734
6qc34bnVOyqGDPni8H5W0U,Amazed,240866.0,65.0,0.26,0.561,0.543,0.0,1.0,0.124,-8.498,1.0,0.0324,139.803,0.243
3VEZvzr84WVnoorZ4tlBSw,He Can't Love U,244053.0,48.0,0.112,0.721,0.836,0.0,8.0,0.235,-3.972,0.0,0.206,126.279,0.508
5OQsiBsky2k2kDKy2bX2eT,Learn To Fly,235293.0,73.0,1.83e-05,0.465,0.919,2.07e-05,4.0,0.262,-4.025,1.0,0.0408,135.997,0.537
4ocbH5ZJqajZIpUrqRUoue,Meet Virginia,239933.0,57.0,0.0863,0.675,0.553,7.58e-06,7.0,0.118,-7.775,1.0,0.0486,90.02,0.594
